bs,bs1,bs2,bs2_1,bs3,bs4_1,c10_1,c1_1,c2_1,c2_2,c2_3,c3_1,c3_2,c3_3,c3_4,c3_5,c3_6,c3_7,c3_8,c4,c5,c6_1,c6_2,c6_3,c7,c8_1,c8_2,c8_3,c8_4,c8_5,c8_6,c9_1,c_total,ct10,ct12,ct13,ct14,ct15_1,ct16,ct1_1,ct1_2,ct1_3,ct1_4,ct2_1,ct2_2,ct2_3,ct3_1,ct3_2,ct3_3,ct3_4,ct4,ct5,ct6_1,ct7_1,ct7_2,ct8_1,ct8_2,ct8_3,ct9_1,f1_1,f2_1,f2_2,f3_1,f3_2,f3_3,f3_4,f3_5,f4_1,f5,f6_1,l1_1,l1_2,l1_3,l1_4,l1_5,l1_6,l2_1,l2_2,l2_3,l2_4,l3_1,l3_2,l3_3,l3_4,l4_1,l4_2,l4_3,l4_4,l_total,c_total,ct_total,f_total,l_sum,c_sum,ct_sum,f_sum,l_avg,c_avg,ct_avg,f_avg,total
1,10,2,2,0,7,0.83,0.83,0.67,0.83,0.5,0.83,0.83,0.83,0.83,0.67,0.67,0.83,0.83,0.5,0.5,1,0.83,0.83,0,1,1,1,1,0.83,1,1,26,0.57,0.33,0.75,0.5,0.67,0,1,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.5,0,0.17,0.83,0.83,0.67,0.67,0.83,0.67,0.83,0.83,0.83,0.83,0.83,0.67,0.83,0.83,0.83,0.75,0.83,0.67,0.67,0.17,0.33,0.83,0.67,0.67,0.33,0.5,0.67,0.33,0.67,0.5,0.83,0.83,0.83,0.83,0.83,18,26,26,11,11.16,20.47,17.29,8.89,15.50,19.68,16.63,20.20,57.81
1,4,1,1,0,7,0.83,0.83,0.83,0.67,0.83,1,0.83,0.83,0.83,0.83,0.83,1,0.83,0.75,1,1,1,1,0,1,1,1,1,1,1,1,26,0.71,0.56,1,0.5,1,0,1,1,1,1,1,1,1,1,1,1,1,0.33,0,0.33,1,1,1,1,1,1,0.83,0,0.17,1,0.83,0.83,0.83,0.83,0.83,0.5,0.5,0.33,0.5,0.83,1,0.5,0.33,0.83,0.67,0.83,0.83,0.33,0.83,0.83,0.83,0.83,0.83,0.83,0.83,18,26,26,11,12.79,22.72,21.43,7.15,17.76,21.85,20.61,16.25,64.09
1,9,2,1,1,6,0.67,0.67,0.67,0.5,1,0.67,1,0.83,0.83,0.33,0.67,0.5,0.67,0.5,0.25,1,1,1,0,1,0.67,1,1,0.5,1,0.83,26,0.57,0.56,0.75,1,1,0,0.67,0.83,1,0.5,0.83,0.5,0.67,0.83,1,0.83,0.83,0.33,0,0.17,1,0.83,0.67,0.83,0.83,0.17,1,1,0.83,0.67,0.83,0.83,0.83,1,1,0.75,0.5,0.67,0.33,0.83,0.17,0.5,0.67,0.67,0.67,0.67,0.67,0.5,0.5,0.67,0.67,0.67,1,0.67,0.67,18,26,26,11,11.2,18.76,17.2,9.24,15.56,18.04,16.54,21.00,56.40
1,9,2,2,1,6,0.67,0.67,0.67,0.5,1,0.67,1,0.83,0.83,0.33,0.67,0.5,0.67,0.5,0.25,1,1,1,0,1,0.67,1,1,0.5,1,0.83,26,0.57,0.56,0.75,1,1,0,0.67,0.83,1,0.5,0.83,0.5,0.67,0.83,1,0.83,0.83,0.33,0,0.17,1,0.83,0.67,0.83,0.83,0.17,1,1,0.83,0.67,0.83,0.83,0.83,1,1,0.75,0.5,0.67,0.33,0.83,0.17,0.5,0.67,0.67,0.67,0.67,0.67,0.5,0.5,0.67,0.67,0.67,1,0.67,0.67,18,26,26,11,11.2,18.76,17.2,9.24,15.56,18.04,16.54,21.00,56.40
0,0,0,0,0,0,1,0.67,0.83,0.67,0.83,0.83,0.83,0.83,0.83,0.5,0.83,0.83,0.83,0.5,0.5,1,0.83,0.83,0,0.83,0.67,0.83,0.67,0.5,1,0.83,26,0.71,0.22,1,0.5,1,0,1,0.67,1,0.67,1,0.67,0.67,1,0.83,1,0.83,0.33,0,0,0.83,0.83,0.83,1,0.67,0.83,0.83,0.17,0.67,0.83,0.83,0.67,0.83,0.83,0.33,0.25,0,0.67,0.83,0.83,0,0.33,0.33,1,0.83,1,1,0.83,0.83,1,1,0.83,0.83,0.83,0.83,18,26,26,11,13.8,19.3,18.09,6.24,19.17,18.56,17.39,14.18,57.43
1,3,2,1,0,4,0.83,0.67,0.67,0.33,0.83,0.83,0.5,0.67,0.5,0.5,0.5,0.5,0.67,0,0.25,1,0.83,1,0,1,1,1,1,0.83,1,1,26,0.29,0.44,1,0,0.83,0,0.67,0.5,0.33,0.5,0.5,0.5,0.5,0.67,0.83,0.17,0.67,,0,0,0.83,0.67,0.5,0.83,0.67,0.67,0.83,0.83,0.83,0.83,0.67,0.5,0.67,0.67,0.67,0,0.17,0.5,0.83,0.83,0.83,0.83,0.83,0.5,0.5,0.5,0.67,0.33,0.5,0.5,0.67,0.67,0.5,0.5,0.67,18,26,26,11,11.16,17.91,12.57,6.67,15.50,17.22,12.09,15.16,48.31
1,3,2,2,0,4,0.83,0.67,0.67,0.33,0.83,0.83,0.5,0.67,0.5,0.5,0.5,0.5,0.67,0,0.25,1,0.83,1,0,1,1,1,1,0.83,1,1,26,0.29,0.44,1,0,0.83,0,0.67,0.5,0.33,0.5,0.5,0.5,0.5,0.67,0.83,0.17,0.67,,0,0,0.83,0.67,0.5,0.83,0.67,0.67,0.83,0.83,0.83,0.83,0.67,0.5,0.67,0.67,0.67,0,0.17,0.5,0.83,0.83,0.83,0.83,0.83,0.5,0.5,0.5,0.67,0.33,0.5,0.5,0.67,0.67,0.5,0.5,0.67,18,26,26,11,11.16,17.91,12.57,6.67,15.50,17.22,12.09,15.16,48.31
1,8,2,1,0,5,0.83,0.83,0.67,0.67,0.83,0.83,0.83,0.83,0.17,0.17,0.17,0.33,0.17,0,0,1,0.83,0.83,0,1,1,1,0.5,0.83,1,0.83,26,0.29,0.44,0.5,0.5,0.83,0,1,0.33,0.67,0.67,0.83,0.5,0.5,0.83,1,0.5,0.17,0.17,,0.17,0.83,0.67,0.67,0.67,0.83,0.17,1,1,1,0.83,0.83,0.83,0.67,0.83,0.83,0.25,0.17,0.83,1,0.83,1,0.83,1,0.17,0.17,0.17,0.17,0.83,0.83,0.67,0.83,0.83,0.83,0.67,0.67,18,26,26,11,12.33,16.15,13.74,8.24,17.13,15.53,13.21,18.73,50.46
1,8,2,2,0,5,0.83,0.83,0.67,0.67,0.83,0.83,0.83,0.83,0.17,0.17,0.17,0.33,0.17,0,0,1,0.83,0.83,0,1,1,1,0.5,0.83,1,0.83,26,0.29,0.44,0.5,0.5,0.83,0,1,0.33,0.67,0.67,0.83,0.5,0.5,0.83,1,0.5,0.17,0.17,,0.17,0.83,0.67,0.67,0.67,0.83,0.17,1,1,1,0.83,0.83,0.83,0.67,0.83,0.83,0.25,0.17,0.83,1,0.83,1,0.83,1,0.17,0.17,0.17,0.17,0.83,0.83,0.67,0.83,0.83,0.83,0.67,0.67,18,26,26,11,12.33,16.15,13.74,8.24,17.13,15.53,13.21,18.73,50.46
1,3,1,1,0,4,1,0.67,0.83,0.83,0.67,1,0.67,0.83,0.83,0.67,0.5,0.83,0.83,0.5,0.5,1,1,1,0,1,1,1,1,1,1,1,26,0.57,0.44,1,0.5,0.83,0,0.67,0.67,1,0.67,1,0.83,0.83,1,1,0.83,1,0,0,0,1,0.83,0.83,1,0.83,0.67,0.83,0.83,0.83,1,0.83,1,0.83,1,0.5,0.25,0.33,0.83,0.5,0.83,0.33,0.83,0.67,0.67,0.67,0.5,0.83,0.33,0.5,0.67,0.67,0.67,0.67,0.5,0.67,18,26,26,11,11.34,21.16,18,8.23,15.75,20.35,17.31,18.70,58.73
1,0,3,1,0,5,0.5,0.67,0.67,0.5,0.17,0.67,0.83,0.5,0.67,0.5,0.5,0.67,0.5,0.75,0.25,0.83,0.67,0.83,0,1,1,1,1,1,1,1,26,0.29,0.5,0.5,0.5,1,0,1,1,0.83,1,1,0.83,0.83,0.5,0.67,0.67,0.33,0,,0.5,0.5,0.67,0.67,0.67,0.67,0.67,0.67,1,0.5,0.5,0.5,0.5,0.67,0.5,0.5,0.5,0.5,0.5,0.5,0.17,0.5,0.67,0.17,0.83,0.5,0.5,0.67,0.33,0.33,0.33,0.33,0.83,0.83,0.5,0.5,18,26,26,11,8.99,17.68,15.8,6.34,12.49,17.00,15.19,14.41,48.81
1,0,3,2,0,5,0.5,0.67,0.67,0.5,0.17,0.67,0.83,0.5,0.67,0.5,0.5,0.67,0.5,0.75,0.25,0.83,0.67,0.83,0,1,1,1,1,1,1,1,26,0.29,0.5,0.5,0.5,1,0,1,1,0.83,1,1,0.83,0.83,0.5,0.67,0.67,0.33,0,,0.5,0.5,0.67,0.67,0.67,0.67,0.67,0.67,1,0.5,0.5,0.5,0.5,0.67,0.5,0.5,0.5,0.5,0.5,0.5,0.17,0.5,0.67,0.17,0.83,0.5,0.5,0.67,0.33,0.33,0.33,0.33,0.83,0.83,0.5,0.5,18,26,26,11,8.99,17.68,15.8,6.34,12.49,17.00,15.19,14.41,48.81
1,0,3,3,0,5,0.5,0.67,0.67,0.5,0.17,0.67,0.83,0.5,0.67,0.5,0.5,0.67,0.5,0.75,0.25,0.83,0.67,0.83,0,1,1,1,1,1,1,1,26,0.29,0.5,0.5,0.5,1,0,1,1,0.83,1,1,0.83,0.83,0.5,0.67,0.67,0.33,0,,0.5,0.5,0.67,0.67,0.67,0.67,0.67,0.67,1,0.5,0.5,0.5,0.5,0.67,0.5,0.5,0.5,0.5,0.5,0.5,0.17,0.5,0.67,0.17,0.83,0.5,0.5,0.67,0.33,0.33,0.33,0.33,0.83,0.83,0.5,0.5,18,26,26,11,8.99,17.68,15.8,6.34,12.49,17.00,15.19,14.41,48.81
1,5,2,1,1,6,0.67,0.83,0.67,0.67,0.67,0.67,1,0.83,0.83,0.33,0.67,0.17,0.33,0.5,0.5,1,1,1,0,1,1,0.5,0.67,0.83,1,0.83,26,0.14,0.11,0.75,0.5,0.67,0,0.5,0.67,0.33,0.5,0.67,0.67,0.5,0.83,1,0.67,0.83,,,0,0.67,0.67,0.17,0.33,0.33,0.67,1,1,1,0.5,0.83,0.67,0.83,0.83,1,1,1,0.83,0.33,0.67,0.33,0.33,0.33,0.5,0.33,0.5,0.83,0.17,0.83,0.67,0.67,0.83,0.83,0.67,0.67,18,26,26,11,10.32,18.17,12.18,9.66,14.33,17.47,11.71,21.95,50.33
1,5,2,2,1,6,0.67,0.83,0.67,0.67,0.67,0.67,1,0.83,0.83,0.33,0.67,0.17,0.33,0.5,0.5,1,1,1,0,1,1,0.5,0.67,0.83,1,0.83,26,0.14,0.11,0.75,0.5,0.67,0,0.5,0.67,0.33,0.5,0.67,0.67,0.5,0.83,1,0.67,0.83,,,0,0.67,0.67,0.17,0.33,0.33,0.67,1,1,1,0.5,0.83,0.67,0.83,0.83,1,1,1,0.83,0.33,0.67,0.33,0.33,0.33,0.5,0.33,0.5,0.83,0.17,0.83,0.67,0.67,0.83,0.83,0.67,0.67,18,26,26,11,10.32,18.17,12.18,9.66,14.33,17.47,11.71,21.95,50.33
1,7,3,1,0,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,0,1,1,1,1,0.83,1,1,26,0.5,0.89,1,0.5,1,0,1,1,1,1,1,1,1,1,1,1,1,0.17,,0,1,0.83,0.83,1,1,0.83,1,1,1,1,1,1,1,1,1,1,0.5,0.67,0,0.17,0,0.83,0.33,0.83,0.67,0.83,0.83,0.67,1,0.33,1,1,1,1,1,18,26,26,11,12.16,24.33,20.55,10.5,16.89,23.39,19.76,23.86,67.54
1,7,3,2,0,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,0,1,1,1,1,0.83,1,1,26,0.5,0.89,1,0.5,1,0,1,1,1,1,1,1,1,1,1,1,1,0.17,,0,1,0.83,0.83,1,1,0.83,1,1,1,1,1,1,1,1,1,1,0.5,0.67,0,0.17,0,0.83,0.33,0.83,0.67,0.83,0.83,0.67,1,0.33,1,1,1,1,1,18,26,26,11,12.16,24.33,20.55,10.5,16.89,23.39,19.76,23.86,67.54
1,7,3,3,0,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,0,1,1,1,1,0.83,1,1,26,0.5,0.89,1,0.5,1,0,1,1,1,1,1,1,1,1,1,1,1,0.17,,0,1,0.83,0.83,1,1,0.83,1,1,1,1,1,1,1,1,1,1,0.5,0.67,0,0.17,0,0.83,0.33,0.83,0.67,0.83,0.83,0.67,1,0.33,1,1,1,1,1,18,26,26,11,12.16,24.33,20.55,10.5,16.89,23.39,19.76,23.86,67.54
